fold,UAR_dev,ACC_test,Fscore,UAR_SP,SENS,SPEC,AUC,C,gamma
1,0.8055555555555556,1.0,1.0,1.0,1.0,1.0,1.0,254.63632003156377,0.0017143497345122954
2,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,47.525536041859375,0.0011301866491379982
3,0.8333333333333334,0.75,0.7333333333333334,0.75,0.5,1.0,1.0,299.35749003322854,0.002495245606424955
4,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,34.835877095477095,0.0026359389422027945
5,0.8333333333333334,0.5,0.3333333333333333,0.5,1.0,0.0,0.0,177.11951989100058,0.00043073009804509254
6,0.9444444444444444,0.25,0.2,0.25,0.5,0.0,0.5,201.07626602443594,0.0033322518588132155
7,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,48.85197301095899,0.005827804020496039
8,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,79.20453405220758,0.0007608696708666816
9,0.8055555555555556,0.5,0.3333333333333333,0.5,1.0,0.0,1.0,186.59113333570542,0.0015457423875709162
10,0.8055555555555556,1.0,1.0,1.0,1.0,1.0,1.0,126.86455599778672,0.002841634716222202
AVG.,0.8305555555555555,0.7,0.6599999999999999,0.7,0.8,0.6,0.75_0.78515625,151.99203794439364,0.0021047976704686253
STD.,0.042035405417837644,0.35000000000000003,0.38,0.35000000000000003,0.33166247903554,0.48989794855663565,0.4031128874149275,,,
