fold,UAR_dev,ACC_test,Fscore,UAR_SP,SENS,SPEC,AUC,C,gamma
1,0.8148148148148148,0.4,0.28571428571428575,0.3333333333333333,0.0,0.6666666666666666,0.16666666666666669,58.96372303568709,0.005739660726432578
2,0.7777777777777778,0.6,0.5833333333333333,0.5833333333333333,0.5,0.6666666666666666,0.8333333333333334,92.5868932284591,0.0008801145355470281
3,0.7222222222222222,0.8,0.8,0.8333333333333333,1.0,0.6666666666666666,0.8333333333333334,484.2200850003615,0.0008519381437022583
4,0.787037037037037,0.6,0.5833333333333333,0.6666666666666666,1.0,0.3333333333333333,0.8333333333333334,194.8334498948027,0.00032193782447469967
5,0.7777777777777778,1.0,1.0,1.0,1.0,1.0,1.0,584.092849106336,0.0017735062311192743
6,0.7777777777777778,0.75,0.7333333333333334,0.75,1.0,0.5,0.75,129.64253584339326,0.0006300641693895966
7,0.7777777777777778,1.0,1.0,1.0,1.0,1.0,1.0,42.68279726462498,0.0013190723261187985
8,0.7222222222222222,0.6666666666666666,0.4,0.5,0.0,1.0,0.0,22.76914836380091,0.00013104583161539747
9,0.7777777777777778,0.6666666666666666,0.4,0.5,0.0,1.0,1.0,108.7083683291262,0.0008530015924007917
10,0.75,1.0,1.0,1.0,1.0,1.0,1.0,188.26892361329232,0.0039748542283918505
AVG.,0.7685185185185184,0.7483333333333333,0.6785714285714286,0.7166666666666666,0.65,0.7833333333333333,0.7416666666666667_0.7135416666666666,119.17545208625972,0.0008665580639739098
STD.,0.027467401804058003,0.19270731981715464,0.2560027635905253,0.22730302828309762,0.45,0.23629078131263043,0.34247870980057527,,,
