fold,UAR_dev,ACC_test,Fscore,UAR_SP,SENS,SPEC,AUC,C,gamma
1,0.787037037037037,0.8333333333333334,0.8285714285714285,0.8333333333333333,1.0,0.6666666666666666,0.6666666666666667,94.69539237367258,0.0012558699716444226
2,0.7777777777777778,1.0,1.0,1.0,1.0,1.0,1.0,61.56278202414525,0.0014884723924557903
3,0.7592592592592592,0.8333333333333334,0.8285714285714285,0.8333333333333333,0.6666666666666666,1.0,1.0,17.55057707144964,0.0015101686082404557
4,0.8055555555555556,0.8333333333333334,0.8285714285714285,0.8333333333333333,1.0,0.6666666666666666,0.7777777777777779,74.1041352924915,0.00039782144763119277
5,0.8425925925925926,1.0,1.0,1.0,1.0,1.0,1.0,24.64828931216678,0.003033979547390942
6,0.8148148148148148,0.5,0.3333333333333333,0.5,1.0,0.0,0.75,37.89578030528813,0.0020256753841600143
7,0.75,0.75,0.7333333333333334,0.75,1.0,0.5,1.0,51.92278191719421,0.0007759560397992045
8,0.8703703703703703,0.5,0.5,0.5,0.5,0.5,0.5,59.31364991861635,0.0018063214475777644
9,0.7685185185185185,1.0,1.0,1.0,1.0,1.0,1.0,149.90619338980014,8.307715451238899e-05
10,0.8148148148148148,0.75,0.7333333333333334,0.75,1.0,0.5,0.5,259.24953108353316,0.0009349125748004173
AVG.,0.799074074074074,0.8,0.7785714285714286,0.8,0.9166666666666666,0.6833333333333333,0.8194444444444444_0.8263888888888888,60.4382159713808,0.0013721711820501065
STD.,0.03611111111111111,0.1755942292142123,0.20845234695819798,0.1755942292142123,0.17078251276599332,0.3113590282044901,0.19924626489365885,,,
