fold,UAR_dev,ACC_test,Fscore,UAR_SP,SENS,SPEC,AUC,C,gamma
1,0.8194444444444444,0.75,0.75,0.75,0.75,0.75,0.625,27.996156841771192,0.001209341182701956
2,0.7916666666666666,0.75,0.7333333333333334,0.75,1.0,0.5,0.8125,141.2144932443936,0.0005277244289185516
3,0.7222222222222222,0.875,0.873015873015873,0.875,1.0,0.75,1.0,178.72778320847863,0.0009267813201601741
4,0.8055555555555556,0.625,0.6190476190476191,0.625,0.75,0.5,0.75,61.13609786119696,0.0043357858391618
5,0.75,0.625,0.6190476190476191,0.625,0.75,0.5,0.5,22.630003123414294,0.002141659754598135
6,0.7361111111111112,0.875,0.873015873015873,0.875,1.0,0.75,0.75,11.807282912270209,0.0025968060184040666
7,0.7777777777777778,0.75,0.75,0.75,0.75,0.75,0.75,160.10924546832223,0.0004550288929514857
8,0.7638888888888888,0.75,0.7333333333333334,0.75,1.0,0.5,1.0,59.97118663429687,0.0032815970502681193
9,0.7361111111111112,0.875,0.873015873015873,0.875,0.75,1.0,1.0,60.3120939715331,0.0012643101767060253
10,0.7638888888888888,0.75,0.7333333333333334,0.75,1.0,0.5,0.875,25.264399568286127,0.0025649394767728213
AVG.,0.7666666666666666,0.7625,0.7557142857142858,0.7625,0.875,0.65,0.80625_0.8012499999999999,60.141640302914986,0.0017029849656520803
STD.,0.030301978096210307,0.08750000000000001,0.08955588753223073,0.08750000000000001,0.125,0.16583123951777,0.15922174003571246,,,
