fold,UAR_dev,ACC_test,Fscore,UAR_SP,SENS,SPEC,AUC,C,gamma
1,0.8611111111111112,0.25,0.2,0.25,0.0,0.5,0.25,44.479472755895614,0.0002984133661869908
2,0.75,0.25,0.2,0.25,0.5,0.0,0.0,236.27527810369378,0.0005509937475682569
3,0.7222222222222222,0.5,0.5,0.5,0.5,0.5,0.5,178.8870331720874,0.005425507538384726
4,0.7222222222222222,0.75,0.7333333333333334,0.75,0.5,1.0,1.0,136.2895460158935,0.00307293848713058
5,0.7777777777777778,0.5,0.3333333333333333,0.5,1.0,0.0,0.25,73.1280076675548,8.198459829298126e-05
6,0.7222222222222222,0.75,0.7333333333333334,0.75,0.5,1.0,1.0,26.463068756210962,0.0017579231844579483
7,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,99.18518356910151,4.66748682010798e-05
8,0.75,1.0,1.0,1.0,1.0,1.0,1.0,207.79044442950624,0.001813377218836763
9,0.6111111111111112,1.0,1.0,1.0,1.0,1.0,1.0,1.9462706081467842,0.0028185454858351876
10,0.6944444444444444,1.0,1.0,1.0,1.0,1.0,1.0,464.42342113950923,0.0003981048287667224
AVG.,0.7277777777777776,0.7,0.6699999999999999,0.7,0.7,0.7,0.7_0.66015625,117.73736479249752,0.0011544584660131026
STD.,0.06309898162000306,0.29154759474226505,0.3205724047179774,0.29154759474226505,0.33166247903554,0.4,0.3840572873934304,,,
