fold,UAR_dev,ACC_test,Fscore,UAR_SP,SENS,SPEC,AUC,C,gamma
1,0.8148148148148148,0.4,0.28571428571428575,0.3333333333333333,0.0,0.6666666666666666,0.16666666666666669,434.90145256984755,0.0015536880707119553
2,0.7222222222222222,0.6,0.37499999999999994,0.5,0.0,1.0,0.8333333333333334,53.04095039389528,0.00028985406169462313
3,0.6388888888888888,1.0,1.0,1.0,1.0,1.0,1.0,23.55045115506953,0.00016233261569428438
4,0.7037037037037037,0.4,0.28571428571428575,0.3333333333333333,0.0,0.6666666666666666,0.16666666666666669,2.598311728100752,0.0036885594311148904
5,0.6944444444444444,1.0,1.0,1.0,1.0,1.0,1.0,239.76903631616548,0.003908392818502672
6,0.6574074074074073,0.75,0.7333333333333334,0.75,1.0,0.5,1.0,131.94465194213214,2.879159365886609e-05
7,0.6388888888888888,0.6666666666666666,0.6666666666666666,0.75,1.0,0.5,1.0,138.8083225559418,0.002377589737723317
8,0.7685185185185185,0.3333333333333333,0.25,0.25,0.0,0.5,0.0,31.202046927528187,0.0010933425699689082
9,0.7037037037037037,0.3333333333333333,0.25,0.25,0.0,0.5,0.0,138.8767526491948,0.00011064819601700657
10,0.7407407407407407,0.3333333333333333,0.25,0.5,1.0,0.0,0.0,26.089276568267884,0.0006625424893669482
AVG.,0.7083333333333334,0.5816666666666667,0.5096428571428572,0.5666666666666667,0.5,0.6333333333333333,0.5166666666666667_0.5520833333333334,92.49280116801371,0.0008779425296679283
STD.,0.053551828670078724,0.25237207980810134,0.29601589652877164,0.27588242262078083,0.5,0.29627314724385295,0.4561310727801336,,,
