fold,UAR_dev,ACC_test,Fscore,UAR_SP,SENS,SPEC,AUC,C,gamma
1,0.5648148148148148,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22222222222222224,671.6651560832099,0.0016610674275450727
2,0.5833333333333334,0.16666666666666666,0.14285714285714288,0.16666666666666666,0.3333333333333333,0.0,0.11111111111111112,7.061626231990657,0.0057392581084917595
3,0.6018518518518517,0.5,0.48571428571428577,0.5,0.6666666666666666,0.3333333333333333,0.5555555555555556,8.483104182429635,0.0005747733781257232
4,0.5277777777777778,0.6666666666666666,0.625,0.6666666666666666,1.0,0.3333333333333333,0.5555555555555556,4.147956542171429,0.0009737804406504098
5,0.5555555555555556,0.5,0.3333333333333333,0.5,1.0,0.0,0.0,5.836929619754314,0.003614937774976895
6,0.5277777777777778,0.75,0.7333333333333334,0.75,0.5,1.0,0.5,48.4986613265918,8.882605810743178e-05
7,0.6111111111111112,0.25,0.2,0.25,0.0,0.5,0.5,175.01640488815846,0.004090963075763866
8,0.5925925925925926,0.25,0.2,0.25,0.5,0.0,0.0,44.97142354673927,6.249903501487888e-05
9,0.5277777777777778,0.75,0.7333333333333334,0.75,1.0,0.5,1.0,369.91747842206297,0.0030000168073667146
10,0.5648148148148148,0.5,0.5,0.5,0.5,0.5,0.5,6.440761771029788,0.0007787588641878818
AVG.,0.5657407407407408,0.4666666666666666,0.42869047619047623,0.4666666666666666,0.5833333333333333,0.35,0.3944444444444445_0.4357638888888889,26.72726386458445,0.0013174239340977413
STD.,0.029701879504343394,0.20138409955990952,0.2090392462256431,0.20138409955990952,0.3184162195757133,0.29297326385411576,0.29549080326604893,,,
