fold,UAR_dev,ACC_test,Fscore,UAR_SP,SENS,SPEC,AUC,C,gamma
1,0.5555555555555556,0.5,0.5,0.5,0.5,0.5,0.5,101.34228859045852,0.00013259108352933145
2,0.5833333333333334,0.5,0.5,0.5,0.5,0.5,0.625,190.18328902030294,0.0007381567008277365
3,0.5416666666666666,0.625,0.6190476190476191,0.625,0.75,0.5,0.4375,43.19580392274959,0.00300937267210982
4,0.5833333333333334,0.625,0.6190476190476191,0.625,0.75,0.5,0.6875,13.810686173973954,0.0011733795290328262
5,0.5416666666666666,0.625,0.6190476190476191,0.625,0.5,0.75,0.625,4.819833233704354,0.0031941212209452125
6,0.5694444444444444,0.625,0.6190476190476191,0.625,0.75,0.5,0.625,65.29390711232185,0.0014232646633009225
7,0.6111111111111112,0.5,0.4666666666666667,0.5,0.25,0.75,0.625,72.49941089893878,0.000551766207034267
8,0.5972222222222222,0.25,0.25,0.25,0.25,0.25,0.3125,265.7501260398719,0.0038970414999005385
9,0.5694444444444444,0.625,0.6190476190476191,0.625,0.75,0.5,0.375,15.454018798427619,0.00044410389547297615
10,0.5138888888888888,0.625,0.5636363636363637,0.625,1.0,0.25,1.0,62.439946078131584,0.00012504348153907188
AVG.,0.5666666666666668,0.55,0.5375541125541126,0.55,0.6,0.5,0.58125_0.5562499999999999,63.866926595226715,0.0009557681149302813
STD.,0.02763853991962836,0.11456439237389601,0.11154338267922317,0.11456439237389601,0.22912878474779202,0.15811388300841897,0.1833925093890151,,,
